var	tipo	nulo	llave	"valor"
NACI	D	NA	253	"Eritrea"
NACI	D	NA	254	"Sudán del Sur"
NACI	D	NA	299	"Otros países de África"
NACI	D	NA	301	"Canadá"
NACI	D	NA	302	"Estados Unidos de América"
NACI	D	NA	303	"México"
NACI	D	NA	310	"Antigua y Barbuda"
NACI	D	NA	311	"Bahamas"
NACI	D	NA	312	"Barbados"
NACI	D	NA	313	"Belice"
NACI	D	NA	314	"Costa Rica"
NACI	D	NA	315	"Cuba"
NACI	D	NA	316	"Dominica"
NACI	D	NA	317	"El Salvador"
NACI	D	NA	318	"Granada"
NACI	D	NA	319	"Guatemala"
NACI	D	NA	320	"Haití"
NACI	D	NA	321	"Honduras"
NACI	D	NA	322	"Jamaica"
NACI	D	NA	323	"Nicaragua"
NACI	D	NA	324	"Panamá"
NACI	D	NA	325	"San Vicente y las Granadinas"
NACI	D	NA	326	"República Dominicana"
NACI	D	NA	327	"Trinidad y Tobago"
NACI	D	NA	328	"Santa Lucía"
NACI	D	NA	329	"San Cristóbal y Nieves"
NACI	D	NA	340	"Argentina"
NACI	D	NA	341	"Bolivia"
NACI	D	NA	342	"Brasil"
NACI	D	NA	343	"Colombia"
NACI	D	NA	344	"Chile"
NACI	D	NA	345	"Ecuador"
NACI	D	NA	346	"Guyana"
NACI	D	NA	347	"Paraguay"
NACI	D	NA	348	"Perú"
NACI	D	NA	349	"Surinam"
NACI	D	NA	350	"Uruguay"
NACI	D	NA	351	"Venezuela"
NACI	D	NA	399	"Otros países de América"
NACI	D	NA	401	"Afganistán"
NACI	D	NA	402	"Arabia Saudí"
NACI	D	NA	403	"Bahréin"
NACI	D	NA	404	"Bangladesh"
NACI	D	NA	405	"Myanmar"
NACI	D	NA	407	"China"
NACI	D	NA	408	"Emiratos Árabes Unidos"
NACI	D	NA	409	"Filipinas"
NACI	D	NA	410	"India"
NACI	D	NA	411	"Indonesia"
NACI	D	NA	412	"Iraq"
NACI	D	NA	413	"Irán"
NACI	D	NA	414	"Israel"
NACI	D	NA	415	"Japón"
NACI	D	NA	416	"Jordania"
NACI	D	NA	417	"Camboya"
NACI	D	NA	418	"Kuwait"
NACI	D	NA	419	"Laos"
NACI	D	NA	420	"Líbano"
NACI	D	NA	421	"Malasia"
NACI	D	NA	422	"Maldivas"
NACI	D	NA	423	"Mongolia"
NACI	D	NA	424	"Nepal"
NACI	D	NA	425	"Omán"
NACI	D	NA	426	"Pakistán"
NACI	D	NA	427	"Qatar"
NACI	D	NA	430	"Corea"
NACI	D	NA	431	"Corea del Norte"
NACI	D	NA	432	"Singapur"
NACI	D	NA	433	"Siria"
NACI	D	NA	434	"Sri Lanka"
NACI	D	NA	435	"Tailandia"
NACI	D	NA	436	"Turquía"
NACI	D	NA	437	"Vietnam"
NACI	D	NA	439	"Brunei"
NACI	D	NA	440	"Islas Marshall"
NACI	D	NA	441	"Yemen"
NACI	D	NA	442	"Azerbaiyán"
NACI	D	NA	443	"Kazajstán"
NACI	D	NA	444	"Kirguistán"
NACI	D	NA	445	"Tadyikistán"
NACI	D	NA	446	"Turkmenistán"
NACI	D	NA	447	"Uzbekistán"
NACI	D	NA	448	"Bhután"
NACI	D	NA	499	"Otros países de Asia"
NACI	D	NA	501	"Australia"
NACI	D	NA	502	"Fiji"
NACI	D	NA	504	"Nueva Zelanda"
NACI	D	NA	505	"Papúa Nueva Guinea"
NACI	D	NA	506	"Islas Salomón"
NACI	D	NA	507	"Samoa"
NACI	D	NA	508	"Tonga"
NACI	D	NA	509	"Vanuatu"
NACI	D	NA	511	"Micronesia"
NACI	D	NA	512	"Tuvalu"
NACI	D	NA	513	"Islas Cook"
NACI	D	NA	514	"Kiribati"
NACI	D	NA	515	"Nauru"
NACI	D	NA	516	"Palaos"
NACI	D	NA	517	"Timor Oriental"
NACI	D	NA	555	"Apátridas"
CPAISN	D	NA	102	"Austria"
CPAISN	D	NA	103	"Bélgica"
CPAISN	D	NA	104	"Bulgaria"
CPAISN	D	NA	106	"Chipre"
CPAISN	D	NA	107	"Dinamarca"
CPAISN	D	NA	108	"España"
CPAISN	D	NA	109	"Finlandia"
CPAISN	D	NA	110	"Francia"
CPAISN	D	NA	111	"Grecia"
CPAISN	D	NA	112	"Hungría"
CPAISN	D	NA	113	"Irlanda"
CPAISN	D	NA	115	"Italia"
CPAISN	D	NA	117	"Luxemburgo"
CPAISN	D	NA	118	"Malta"
CPAISN	D	NA	121	"Países Bajos"
CPAISN	D	NA	122	"Polonia"
CPAISN	D	NA	123	"Portugal"
CPAISN	D	NA	125	"Reino Unido"
CPAISN	D	NA	126	"Alemania"
CPAISN	D	NA	128	"Rumanía"
CPAISN	D	NA	131	"Suecia"
CPAISN	D	NA	136	"Letonia"
CPAISN	D	NA	141	"Estonia"
CPAISN	D	NA	142	"Lituania"
CPAISN	D	NA	143	"República Checa"
CPAISN	D	NA	144	"República Eslovaca"
CPAISN	D	NA	146	"Croacia"
CPAISN	D	NA	147	"Eslovenia"
CPAISN	D	NA	101	"Albania"
CPAISN	D	NA	114	"Islandia"
CPAISN	D	NA	116	"Liechtenstein"
CPAISN	D	NA	119	"Mónaco"
CPAISN	D	NA	120	"Noruega"
CPAISN	D	NA	124	"Andorra"
CPAISN	D	NA	129	"San Marino"
CPAISN	D	NA	130	"Santa Sede"
CPAISN	D	NA	132	"Suiza"
CPAISN	D	NA	135	"Ucrania"
CPAISN	D	NA	137	"Moldavia"
CPAISN	D	NA	138	"Belarús"
CPAISN	D	NA	139	"Georgia"
CPAISN	D	NA	145	"Bosnia y Herzegovina"
CPAISN	D	NA	148	"Armenia"
CPAISN	D	NA	154	"Rusia"
CPAISN	D	NA	156	"Macedonia"
CPAISN	D	NA	157	"Serbia"
CPAISN	D	NA	158	"Montenegro"
CPAISN	D	NA	199	"Otros países de Europa"
CPAISN	D	NA	201	"Burkina Faso"
CPAISN	D	NA	202	"Angola"
CPAISN	D	NA	203	"Argelia"
CPAISN	D	NA	204	"Benin"
CPAISN	D	NA	205	"Botswana"
CPAISN	D	NA	206	"Burundi"
CPAISN	D	NA	207	"Cabo Verde"
CPAISN	D	NA	208	"Camerún"
CPAISN	D	NA	209	"Comores"
CPAISN	D	NA	210	"Congo"
CPAISN	D	NA	211	"Costa de Marfil"
CPAISN	D	NA	212	"Djibouti"
CPAISN	D	NA	213	"Egipto"
CPAISN	D	NA	214	"Etiopía"
CPAISN	D	NA	215	"Gabón"
CPAISN	D	NA	216	"Gambia"
CPAISN	D	NA	217	"Ghana"
CPAISN	D	NA	218	"Guinea"
CPAISN	D	NA	219	"Guinea-Bissau"
CPAISN	D	NA	220	"Guinea Ecuatorial"
CPAISN	D	NA	221	"Kenia"
CPAISN	D	NA	222	"Lesotho"
CPAISN	D	NA	223	"Liberia"
CPAISN	D	NA	224	"Libia"
CPAISN	D	NA	225	"Madagascar"
CPAISN	D	NA	226	"Malawi"
CPAISN	D	NA	227	"Mali"
CPAISN	D	NA	228	"Marruecos"
CPAISN	D	NA	229	"Mauricio"
CPAISN	D	NA	230	"Mauritania"
CPAISN	D	NA	231	"Mozambique"
CPAISN	D	NA	232	"Namibia"
CPAISN	D	NA	233	"Níger"
CPAISN	D	NA	234	"Nigeria"
CPAISN	D	NA	235	"República Centroafricana"
CPAISN	D	NA	236	"Sudáfrica"
CPAISN	D	NA	237	"Ruanda"
CPAISN	D	NA	238	"Santo Tomé y Príncipe"
CPAISN	D	NA	239	"Senegal"
CPAISN	D	NA	240	"Seychelles"
