"var"	"tipo"	"nulo"	"llave"	"valor"
"CMUN"	"D"	"NA"	"04902"	"Ejido, El"
"CMUN"	"D"	"NA"	"05019"	"Ávila"
"CMUN"	"D"	"NA"	"06011"	"Almendralejo"
"CMUN"	"D"	"NA"	"06015"	"Badajoz"
"CMUN"	"D"	"NA"	"06044"	"Don Benito"
"CMUN"	"D"	"NA"	"06083"	"Mérida"
"CMUN"	"D"	"NA"	"06088"	"Montijo"
"CMUN"	"D"	"NA"	"06095"	"Olivenza"
"CMUN"	"D"	"NA"	"06149"	"Villafranca de los Barros"
"CMUN"	"D"	"NA"	"06153"	"Villanueva de la Serena"
"CMUN"	"D"	"NA"	"06158"	"Zafra"
"CMUN"	"D"	"NA"	"07003"	"Alcúdia"
"CMUN"	"D"	"NA"	"07005"	"Andratx"
"CMUN"	"D"	"NA"	"07011"	"Calvià"
"CMUN"	"D"	"NA"	"07013"	"Campos"
"CMUN"	"D"	"NA"	"07014"	"Capdepera"
"CMUN"	"D"	"NA"	"07015"	"Ciutadella de Menorca"
"CMUN"	"D"	"NA"	"07022"	"Felanitx"
"CMUN"	"D"	"NA"	"07024"	"Formentera"
"CMUN"	"D"	"NA"	"07026"	"Eivissa"
"CMUN"	"D"	"NA"	"07027"	"Inca"
"CMUN"	"D"	"NA"	"07031"	"Llucmajor"
"CMUN"	"D"	"NA"	"07032"	"Maó-Mahón"
"CMUN"	"D"	"NA"	"07033"	"Manacor"
"CMUN"	"D"	"NA"	"07036"	"Marratxí"
"CMUN"	"D"	"NA"	"07040"	"Palma de Mallorca"
"CMUN"	"D"	"NA"	"07042"	"Pollença"
"CMUN"	"D"	"NA"	"07044"	"Pobla, Sa"
"CMUN"	"D"	"NA"	"07046"	"Sant Antoni de Portmany"
"CMUN"	"D"	"NA"	"07048"	"Sant Josep de sa Talaia"
"CMUN"	"D"	"NA"	"07054"	"Santa Eulària des Riu"
"CMUN"	"D"	"NA"	"07055"	"Santa Margalida"
"CMUN"	"D"	"NA"	"07057"	"Santanyí"
"CMUN"	"D"	"NA"	"07061"	"Sóller"
"CMUN"	"D"	"NA"	"07062"	"Son Servera"
"CMUN"	"D"	"NA"	"08001"	"Abrera"
"CMUN"	"D"	"NA"	"08006"	"Arenys de Mar"
"CMUN"	"D"	"NA"	"08009"	"Argentona"
"CMUN"	"D"	"NA"	"08015"	"Badalona"
"CMUN"	"D"	"NA"	"08019"	"Barcelona"
"CMUN"	"D"	"NA"	"08022"	"Berga"
"CMUN"	"D"	"NA"	"08033"	"Caldes de Montbui"
"CMUN"	"D"	"NA"	"08035"	"Calella"
"CMUN"	"D"	"NA"	"08040"	"Canet de Mar"
"CMUN"	"D"	"NA"	"08041"	"Canovelles"
"CMUN"	"D"	"NA"	"08046"	"Cardedeu"
"CMUN"	"D"	"NA"	"08051"	"Castellar del Vallès"
"CMUN"	"D"	"NA"	"08054"	"Castellbisbal"
"CMUN"	"D"	"NA"	"08056"	"Castelldefels"
"CMUN"	"D"	"NA"	"08072"	"Corbera de Llobregat"
