"var"	"tipo"	nulo	"llave"	"valor"
"MUNINAC"	"D"	NA	"01063"	"Zuia"
"MUNINAC"	"D"	NA	"02001"	"Abengibre"
"MUNINAC"	"D"	NA	"02002"	"Alatoz"
"MUNINAC"	"D"	NA	"02003"	"Albacete"
"MUNINAC"	"D"	NA	"02004"	"Albatana"
"MUNINAC"	"D"	NA	"02005"	"Alborea"
"MUNINAC"	"D"	NA	"02006"	"Alcadozo"
"MUNINAC"	"D"	NA	"02007"	"Alcalá del Júcar"
"MUNINAC"	"D"	NA	"02008"	"Alcaraz"
"MUNINAC"	"D"	NA	"02009"	"Almansa"
"MUNINAC"	"D"	NA	"02010"	"Alpera"
"MUNINAC"	"D"	NA	"02011"	"Ayna"
"MUNINAC"	"D"	NA	"02012"	"Balazote"
"MUNINAC"	"D"	NA	"02014"	"Ballestero, El"
"MUNINAC"	"D"	NA	"02013"	"Balsa de Ves"
"MUNINAC"	"D"	NA	"02015"	"Barrax"
"MUNINAC"	"D"	NA	"02016"	"Bienservida"
"MUNINAC"	"D"	NA	"02017"	"Bogarra"
"MUNINAC"	"D"	NA	"02018"	"Bonete"
"MUNINAC"	"D"	NA	"02019"	"Bonillo, El"
"MUNINAC"	"D"	NA	"02020"	"Carcelén"
"MUNINAC"	"D"	NA	"02021"	"Casas de Juan Núñez"
"MUNINAC"	"D"	NA	"02022"	"Casas de Lázaro"
"MUNINAC"	"D"	NA	"02023"	"Casas de Ves"
"MUNINAC"	"D"	NA	"02024"	"Casas-Ibáñez"
"MUNINAC"	"D"	NA	"02025"	"Caudete"
"MUNINAC"	"D"	NA	"02026"	"Cenizate"
"MUNINAC"	"D"	NA	"02029"	"Chinchilla de Monte-Aragón"
"MUNINAC"	"D"	NA	"02027"	"Corral-Rubio"
"MUNINAC"	"D"	NA	"02028"	"Cotillas"
"MUNINAC"	"D"	NA	"02030"	"Elche de la Sierra"
"MUNINAC"	"D"	NA	"02031"	"Férez"
"MUNINAC"	"D"	NA	"02032"	"Fuensanta"
"MUNINAC"	"D"	NA	"02033"	"Fuente-Álamo"
"MUNINAC"	"D"	NA	"02034"	"Fuentealbilla"
"MUNINAC"	"D"	NA	"02035"	"Gineta, La"
"MUNINAC"	"D"	NA	"02036"	"Golosalvo"
"MUNINAC"	"D"	NA	"02037"	"Hellín"
"MUNINAC"	"D"	NA	"02038"	"Herrera, La"
"MUNINAC"	"D"	NA	"02039"	"Higueruela"
"MUNINAC"	"D"	NA	"02040"	"Hoya-Gonzalo"
"MUNINAC"	"D"	NA	"02041"	"Jorquera"
"MUNINAC"	"D"	NA	"02042"	"Letur"
"MUNINAC"	"D"	NA	"02043"	"Lezuza"
"MUNINAC"	"D"	NA	"02044"	"Liétor"
"MUNINAC"	"D"	NA	"02045"	"Madrigueras"
"MUNINAC"	"D"	NA	"02046"	"Mahora"
"MUNINAC"	"D"	NA	"02047"	"Masegoso"
"MUNINAC"	"D"	NA	"02048"	"Minaya"
"MUNINAC"	"D"	NA	"02049"	"Molinicos"
"MUNINAC"	"D"	NA	"02050"	"Montalvos"
"MUNINAC"	"D"	NA	"02051"	"Montealegre del Castillo"
"MUNINAC"	"D"	NA	"02052"	"Motilleja"
"MUNINAC"	"D"	NA	"02053"	"Munera"
"MUNINAC"	"D"	NA	"02054"	"Navas de Jorquera"
"MUNINAC"	"D"	NA	"02055"	"Nerpio"
"MUNINAC"	"D"	NA	"02056"	"Ontur"
"MUNINAC"	"D"	NA	"02057"	"Ossa de Montiel"
"MUNINAC"	"D"	NA	"02058"	"Paterna del Madera"
"MUNINAC"	"D"	NA	"02060"	"Peñas de San Pedro"
"MUNINAC"	"D"	NA	"02059"	"Peñascosa"
"MUNINAC"	"D"	NA	"02061"	"Pétrola"
"MUNINAC"	"D"	NA	"02062"	"Povedilla"
"MUNINAC"	"D"	NA	"02901"	"Pozo Cañada"
"MUNINAC"	"D"	NA	"02063"	"Pozohondo"
"MUNINAC"	"D"	NA	"02064"	"Pozo-Lorente"
"MUNINAC"	"D"	NA	"02065"	"Pozuelo"
"MUNINAC"	"D"	NA	"02066"	"Recueja, La"
"MUNINAC"	"D"	NA	"02067"	"Riópar"
"MUNINAC"	"D"	NA	"02068"	"Robledo"
"MUNINAC"	"D"	NA	"02069"	"Roda, La"
"MUNINAC"	"D"	NA	"02070"	"Salobre"
"MUNINAC"	"D"	NA	"02071"	"San Pedro"
"MUNINAC"	"D"	NA	"02072"	"Socovos"
"MUNINAC"	"D"	NA	"02073"	"Tarazona de la Mancha"
"MUNINAC"	"D"	NA	"02074"	"Tobarra"
"MUNINAC"	"D"	NA	"02075"	"Valdeganga"
"MUNINAC"	"D"	NA	"02076"	"Vianos"
"MUNINAC"	"D"	NA	"02077"	"Villa de Ves"
"MUNINAC"	"D"	NA	"02078"	"Villalgordo del Júcar"
"MUNINAC"	"D"	NA	"02079"	"Villamalea"
"MUNINAC"	"D"	NA	"02080"	"Villapalacios"
"MUNINAC"	"D"	NA	"02081"	"Villarrobledo"
"MUNINAC"	"D"	NA	"02082"	"Villatoya"
"MUNINAC"	"D"	NA	"02083"	"Villavaliente"
"MUNINAC"	"D"	NA	"02084"	"Villaverde de Guadalimar"
"MUNINAC"	"D"	NA	"02085"	"Viveros"
"MUNINAC"	"D"	NA	"02086"	"Yeste"
"MUNINAC"	"D"	NA	"03002"	"Agost"
"MUNINAC"	"D"	NA	"03003"	"Agres"
"MUNINAC"	"D"	NA	"03004"	"Aigües"
"MUNINAC"	"D"	NA	"03005"	"Albatera"
"MUNINAC"	"D"	NA	"03006"	"Alcalalí"
"MUNINAC"	"D"	NA	"03007"	"Alcocer de Planes"
"MUNINAC"	"D"	NA	"03008"	"Alcoleja"
"MUNINAC"	"D"	NA	"03009"	"Alcoy/Alcoi"
"MUNINAC"	"D"	NA	"03010"	"Alfafara"
"MUNINAC"	"D"	NA	"03011"	"Alfàs del Pi, l'"
"MUNINAC"	"D"	NA	"03012"	"Algorfa"
"MUNINAC"	"D"	NA	"03013"	"Algueña"
"MUNINAC"	"D"	NA	"03014"	"Alicante/Alacant"
"MUNINAC"	"D"	NA	"03015"	"Almoradí"
"MUNINAC"	"D"	NA	"03016"	"Almudaina"
"MUNINAC"	"D"	NA	"03017"	"Alqueria d'Asnar, l'"
"MUNINAC"	"D"	NA	"03018"	"Altea"
"MUNINAC"	"D"	NA	"03019"	"Aspe"
"MUNINAC"	"D"	NA	"03001"	"Atzúbia, l'"
"MUNINAC"	"D"	NA	"03020"	"Balones"
"MUNINAC"	"D"	NA	"03021"	"Banyeres de Mariola"
"MUNINAC"	"D"	NA	"03022"	"Benasau"
"MUNINAC"	"D"	NA	"03023"	"Beneixama"
"MUNINAC"	"D"	NA	"03024"	"Benejúzar"
"MUNINAC"	"D"	NA	"03025"	"Benferri"
"MUNINAC"	"D"	NA	"03026"	"Beniarbeig"
"MUNINAC"	"D"	NA	"03027"	"Beniardá"
"MUNINAC"	"D"	NA	"03028"	"Beniarrés"
"MUNINAC"	"D"	NA	"03030"	"Benidoleig"
"MUNINAC"	"D"	NA	"03031"	"Benidorm"
"MUNINAC"	"D"	NA	"03032"	"Benifallim"
"MUNINAC"	"D"	NA	"03033"	"Benifato"
"MUNINAC"	"D"	NA	"03029"	"Benigembla"
"MUNINAC"	"D"	NA	"03034"	"Benijófar"
"MUNINAC"	"D"	NA	"03035"	"Benilloba"
"MUNINAC"	"D"	NA	"03036"	"Benillup"
"MUNINAC"	"D"	NA	"03037"	"Benimantell"
"MUNINAC"	"D"	NA	"03038"	"Benimarfull"
"MUNINAC"	"D"	NA	"03039"	"Benimassot"
"MUNINAC"	"D"	NA	"03040"	"Benimeli"
"MUNINAC"	"D"	NA	"03041"	"Benissa"
"MUNINAC"	"D"	NA	"03042"	"Benitachell/Poble Nou de Benitatxell, el"
"MUNINAC"	"D"	NA	"03043"	"Biar"
"MUNINAC"	"D"	NA	"03044"	"Bigastro"
"MUNINAC"	"D"	NA	"03045"	"Bolulla"
"MUNINAC"	"D"	NA	"03046"	"Busot"
"MUNINAC"	"D"	NA	"03049"	"Callosa de Segura"
"MUNINAC"	"D"	NA	"03048"	"Callosa d'en Sarrià"
"MUNINAC"	"D"	NA	"03047"	"Calp"
"MUNINAC"	"D"	NA	"03050"	"Campello, el"
"MUNINAC"	"D"	NA	"03051"	"Campo de Mirra/Camp de Mirra, el"
"MUNINAC"	"D"	NA	"03052"	"Cañada"
"MUNINAC"	"D"	NA	"03053"	"Castalla"
"MUNINAC"	"D"	NA	"03054"	"Castell de Castells"
"MUNINAC"	"D"	NA	"03075"	"Castell de Guadalest, el"
"MUNINAC"	"D"	NA	"03055"	"Catral"
"MUNINAC"	"D"	NA	"03056"	"Cocentaina"
"MUNINAC"	"D"	NA	"03057"	"Confrides"
"MUNINAC"	"D"	NA	"03058"	"Cox"
"MUNINAC"	"D"	NA	"03059"	"Crevillent"
"MUNINAC"	"D"	NA	"03061"	"Daya Nueva"
"MUNINAC"	"D"	NA	"03062"	"Daya Vieja"
"MUNINAC"	"D"	NA	"03063"	"Dénia"
"MUNINAC"	"D"	NA	"03064"	"Dolores"
"MUNINAC"	"D"	NA	"03065"	"Elche/Elx"
"MUNINAC"	"D"	NA	"03066"	"Elda"
"MUNINAC"	"D"	NA	"03067"	"Facheca"
"MUNINAC"	"D"	NA	"03068"	"Famorca"
"MUNINAC"	"D"	NA	"03069"	"Finestrat"
"MUNINAC"	"D"	NA	"03077"	"Fondó de les Neus, el/Hondón de las Nieves"
"MUNINAC"	"D"	NA	"03070"	"Formentera del Segura"
"MUNINAC"	"D"	NA	"03072"	"Gaianes"
"MUNINAC"	"D"	NA	"03071"	"Gata de Gorgos"
"MUNINAC"	"D"	NA	"03073"	"Gorga"
"MUNINAC"	"D"	NA	"03074"	"Granja de Rocamora"
"MUNINAC"	"D"	NA	"03076"	"Guardamar del Segura"
"MUNINAC"	"D"	NA	"03078"	"Hondón de los Frailes"
"MUNINAC"	"D"	NA	"03079"	"Ibi"
"MUNINAC"	"D"	NA	"03080"	"Jacarilla"
"MUNINAC"	"D"	NA	"03082"	"Jávea/Xàbia"
"MUNINAC"	"D"	NA	"03083"	"Jijona/Xixona"
"MUNINAC"	"D"	NA	"03085"	"Llíber"
"MUNINAC"	"D"	NA	"03084"	"Lorcha/Orxa, l'"
"MUNINAC"	"D"	NA	"03086"	"Millena"
"MUNINAC"	"D"	NA	"03088"	"Monforte del Cid"
"MUNINAC"	"D"	NA	"03089"	"Monóvar/Monòver"
"MUNINAC"	"D"	NA	"03903"	"Montesinos, Los"
"MUNINAC"	"D"	NA	"03091"	"Murla"
"MUNINAC"	"D"	NA	"03092"	"Muro de Alcoy"
"MUNINAC"	"D"	NA	"03090"	"Mutxamel"
"MUNINAC"	"D"	NA	"03093"	"Novelda"
"MUNINAC"	"D"	NA	"03094"	"Nucia, la"
"MUNINAC"	"D"	NA	"03095"	"Ondara"
"MUNINAC"	"D"	NA	"03096"	"Onil"
"MUNINAC"	"D"	NA	"03097"	"Orba"
"MUNINAC"	"D"	NA	"03099"	"Orihuela"
"MUNINAC"	"D"	NA	"03098"	"Orxeta"
"MUNINAC"	"D"	NA	"03100"	"Parcent"
"MUNINAC"	"D"	NA	"03101"	"Pedreguer"
"MUNINAC"	"D"	NA	"03102"	"Pego"
"MUNINAC"	"D"	NA	"03103"	"Penàguila"
"MUNINAC"	"D"	NA	"03104"	"Petrer"
"MUNINAC"	"D"	NA	"03902"	"Pilar de la Horadada"
"MUNINAC"	"D"	NA	"03105"	"Pinós, el/Pinoso"
"MUNINAC"	"D"	NA	"03106"	"Planes"
"MUNINAC"	"D"	NA	"03901"	"Poblets, els"
"MUNINAC"	"D"	NA	"03107"	"Polop"
"MUNINAC"	"D"	NA	"03060"	"Quatretondeta"
"MUNINAC"	"D"	NA	"03109"	"Rafal"
"MUNINAC"	"D"	NA	"03110"	"Ràfol d'Almúnia, el"
"MUNINAC"	"D"	NA	"03111"	"Redován"
"MUNINAC"	"D"	NA	"03112"	"Relleu"
"MUNINAC"	"D"	NA	"03113"	"Rojales"
"MUNINAC"	"D"	NA	"03114"	"Romana, la"
"MUNINAC"	"D"	NA	"03115"	"Sagra"
"MUNINAC"	"D"	NA	"03116"	"Salinas"
"MUNINAC"	"D"	NA	"03118"	"San Fulgencio"
"MUNINAC"	"D"	NA	"03904"	"San Isidro"
"MUNINAC"	"D"	NA	"03120"	"San Miguel de Salinas"
"MUNINAC"	"D"	NA	"03122"	"San Vicente del Raspeig/Sant Vicent del Raspeig"
"MUNINAC"	"D"	NA	"03117"	"Sanet y Negrals"
